Категория;Секция;Подкатегория;Услуга;Описание;HTML_Opis;Цена;Срок выполнения;Примечания;Ссылка
Drukarka Zastępcza;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Instalacja aplikacji mobilnych (Drukowanie ze smartfona);Oferujemy urządzenie zastępcze na czas naprawy.;<p>Instalacja aplikacji mobilnych (Drukowanie ze smartfona)</p><br><p>Oferujemy urządzenie zastępcze na czas naprawy.</p>;50 / 80 / 110;1 dzień;;
Drukarka Zastępcza;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Aktualizacja firmware (Usuwa błędy);Oferujemy urządzenie zastępcze na czas naprawy.;<p>Aktualizacja firmware (Usuwa błędy)</p><br><p>Oferujemy urządzenie zastępcze na czas naprawy.</p>;80 / 120 / 160;1-2 dni;;
Drukarka Zastępcza;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Reset liczników serwisowych (Odblokowuje funkcje);Oferujemy urządzenie zastępcze na czas naprawy.;<p>Reset liczników serwisowych (Odblokowuje funkcje)</p><br><p>Oferujemy urządzenie zastępcze na czas naprawy.</p>;60 / 90 / 120;1 dzień;;
Drukarka Zastępcza;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Przywrócenie ustawień fabrycznych (Rozwiązuje problemy);Oferujemy urządzenie zastępcze na czas naprawy.;<p>Przywrócenie ustawień fabrycznych (Rozwiązuje problemy)</p><br><p>Oferujemy urządzenie zastępcze na czas naprawy.</p>;60 / 90 / 120;1 dzień;;
Drukarka Zastępcza;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Usunięcie błędów systemowych (Drukarka wraca do pracy);Oferujemy urządzenie zastępcze na czas naprawy.;<p>Usunięcie błędów systemowych (Drukarka wraca do pracy)</p><br><p>Oferujemy urządzenie zastępcze na czas naprawy.</p>;80 / 120 / 160;1-2 dni;;
Drukarka Zastępcza;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Usuwanie konfliktów sterowników (Przywraca komunikację);Oferujemy urządzenie zastępcze na czas naprawy.;<p>Usuwanie konfliktów sterowników (Przywraca komunikację)</p><br><p>Oferujemy urządzenie zastępcze na czas naprawy.</p>;50 / 80 / 110;1 dzień;;
Drukarka Zastępcza;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Konfiguracja skanowania do komputera (SMB/FTP);Oferujemy urządzenie zastępcze na czas naprawy.;<p>Konfiguracja skanowania do komputera (SMB/FTP)</p><br><p>Oferujemy urządzenie zastępcze na czas naprawy.</p>;70 / 110 / 150;1-2 dni;;
Drukarka Zastępcza;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Konfiguracja skanowania do e-mail (SMTP/Cloud);Oferujemy urządzenie zastępcze na czas naprawy.;<p>Konfiguracja skanowania do e-mail (SMTP/Cloud)</p><br><p>Oferujemy urządzenie zastępcze na czas naprawy.</p>;100 / 150 / 200;1-2 dni;;
Drukarka Zastępcza;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Konfiguracja panelu webowego (Ustawienia sieci);Oferujemy urządzenie zastępcze na czas naprawy.;<p>Konfiguracja panelu webowego (Ustawienia sieci)</p><br><p>Oferujemy urządzenie zastępcze na czas naprawy.</p>;60 / 100 / 140;1 dzień;;
Drukarka Zastępcza;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Migracja drukarki (Nowy komputer);Oferujemy urządzenie zastępcze na czas naprawy.;<p>Migracja drukarki (Nowy komputer)</p><br><p>Oferujemy urządzenie zastępcze na czas naprawy.</p>;80 / 120 / 160;1 dzień;;
Drukarka Zastępcza;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Zabezpieczenie dostępu (PIN/hasło);Oferujemy urządzenie zastępcze na czas naprawy.;<p>Zabezpieczenie dostępu (PIN/hasło)</p><br><p>Oferujemy urządzenie zastępcze na czas naprawy.</p>;60 / 90 / 120;1 dzień;;
Drukarka Zastępcza;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Szkolenie użytkownika (Podstawowa obsługa);Oferujemy urządzenie zastępcze na czas naprawy.;<p>Szkolenie użytkownika (Podstawowa obsługa)</p><br><p>Oferujemy urządzenie zastępcze na czas naprawy.</p>;30 / 50 / 70;Na życzenie;;
Drukarka Zastępcza;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Wsparcie zdalne (Konfiguracja/diagnostyka);Oferujemy urządzenie zastępcze na czas naprawy.;<p>Wsparcie zdalne (Konfiguracja/diagnostyka)</p><br><p>Oferujemy urządzenie zastępcze na czas naprawy.</p>;120 zł/godz;1-2 dni;;
Drukarka Zastępcza;Naprawy i usługi serwisowe (opcjonalne);Usługi dodatkowe;Czyszczenie po silnym zalaniu tonerem (Pełna dekontaminacja);Oferujemy urządzenie zastępcze na czas naprawy.;<p>Czyszczenie po silnym zalaniu tonerem (Pełna dekontaminacja)</p><br><p>Oferujemy urządzenie zastępcze na czas naprawy.</p>;200 / 280 / 360;1-3 dni;;
Drukarka Zastępcza;Naprawy i usługi serwisowe (opcjonalne);Usługi dodatkowe;Ocena stanu urządzenia przed zakupem (Ekspertyza);Oferujemy urządzenie zastępcze na czas naprawy.;<p>Ocena stanu urządzenia przed zakupem (Ekspertyza)</p><br><p>Oferujemy urządzenie zastępcze na czas naprawy.</p>;40 / 60 / 80;1 dzień;;
Drukarka Zastępcza;Naprawy i usługi serwisowe (opcjonalne);Usługi dodatkowe;Drukarka zastępcza (Na czas naprawy);Oferujemy urządzenie zastępcze na czas naprawy.;<p>Drukarka zastępcza (Na czas naprawy)</p><br><p>Oferujemy urządzenie zastępcze na czas naprawy.</p>;Link;-;;
Drukarka Zastępcza;Naprawy i usługi serwisowe (opcjonalne);Usługi dodatkowe;Odnowienie obudowy (Bielenie UV);Oferujemy urządzenie zastępcze na czas naprawy.;<p>Odnowienie obudowy (Bielenie UV)</p><br><p>Oferujemy urządzenie zastępcze na czas naprawy.</p>;70 / 90 / 120;1-5 dni;;
Drukarka Zastępcza;Najczęściej zadawane pytania (FAQ);Czy warto naprawiać, czy lepiej kupić nowe?;Czy warto naprawiać, czy lepiej kupić nowe?;To zależy od usterki i dostępności części. Zawsze wykonujemy bezpłatną diagnozę wstępną i informujemy, czy naprawa jest opłacalna. Jeżeli naprawa się nie opłaca – powiemy to otwarcie.;<p>To zależy od usterki i dostępności części. Zawsze wykonujemy bezpłatną diagnozę wstępną i informujemy, czy naprawa jest opłacalna. Jeżeli naprawa się nie opłaca – powiemy to otwarcie.</p>;;;;
Drukarka Zastępcza;Najczęściej zadawane pytania (FAQ);Jak wygląda proces naprawy?;Jak wygląda proces naprawy?;Najpierw przeprowadzamy szybką diagnostykę, przygotowujemy wycenę, a po jej akceptacji przystępujemy do naprawy. W razie potrzeby zamawiamy niezbędne części i informujemy o czasie realizacji.;<p>Najpierw przeprowadzamy szybką diagnostykę, przygotowujemy wycenę, a po jej akceptacji przystępujemy do naprawy. W razie potrzeby zamawiamy niezbędne części i informujemy o czasie realizacji.</p>;;;;
Drukarka Zastępcza;Najczęściej zadawane pytania (FAQ);Ile trwa naprawa?;Ile trwa naprawa?;"Typowo 1–3 dni robocze. Gdy trzeba zamówić części lub usterka jest złożona (np. płyta główna), czas może być dłuższy; na bieżąco informujemy o statusie.";"<p>Typowo 1–3 dni robocze. Gdy trzeba zamówić części lub usterka jest złożona (np. płyta główna), czas może być dłuższy; na bieżąco informujemy o statusie.</p>";;;;
Drukarka Zastępcza;Najczęściej zadawane pytania (FAQ);Czy oferujecie dojazd do Klienta? Czy mogę samodzielnie dostarczyć urządzenie do naprawy?;Czy oferujecie dojazd do Klienta? Czy mogę samodzielnie dostarczyć urządzenie do naprawy?;Tak, świadczymy usługi serwisowe we Wrocławiu i okolicach.  Dojazd serwisanta i diagnoza są GRATIS, jeśli Klient akceptuje zaproponowany koszt naprawy. W przypadku prostych usterek możemy naprawić urządzenie na miejscu, a jeśli zajdzie taka potrzeba – zabierzemy je do naszego serwisu.  W przypadku rezygnacji z naprawy koszt wizyty wynosi 50 zł brutto (czas + dojazd serwisanta).  Oczywiście mogą Państwo również samodzielnie dostarczyć urządzenie do naszej siedziby we Wrocławiu. Na miejscu zapewniamy kompleksową, szybką i bezpłatną diagnostykę w obecności Klienta, miłe przywitanie oraz darmową kawę lub herbatę.;<p>Tak, świadczymy usługi serwisowe we Wrocławiu i okolicach.</p><br><p>Dojazd serwisanta i diagnoza są GRATIS, jeśli Klient akceptuje zaproponowany koszt naprawy. W przypadku prostych usterek możemy naprawić urządzenie na miejscu, a jeśli zajdzie taka potrzeba – zabierzemy je do naszego serwisu.</p><br><p>W przypadku rezygnacji z naprawy koszt wizyty wynosi 50 zł brutto (czas + dojazd serwisanta).</p><br><p>Oczywiście mogą Państwo również samodzielnie dostarczyć urządzenie do naszej siedziby we Wrocławiu. Na miejscu zapewniamy kompleksową, szybką i bezpłatną diagnostykę w obecności Klienta, miłe przywitanie oraz darmową kawę lub herbatę.</p>;;;;
Drukarka Zastępcza;Najczęściej zadawane pytania (FAQ);Czy mogę dostarczyć urządzenie kurierem?;Czy mogę dostarczyć urządzenie kurierem?;Tak. Otrzymasz od nas instrukcję bezpiecznego pakowania.  Po naprawie odeślemy urządzenie do Ciebie.;<p>Tak. Otrzymasz od nas instrukcję bezpiecznego pakowania.</p><br><p>Po naprawie odeślemy urządzenie do Ciebie.</p>;;;;
Drukarka Zastępcza;Najczęściej zadawane pytania (FAQ);Czy naprawa wpływa na gwarancję producenta?;Czy naprawa wpływa na gwarancję producenta?;Jeżeli naprawa wymaga działań naruszających warunki gwarancji — poinformujemy Cię o tym przed jej wykonaniem.;<p>Jeżeli naprawa wymaga działań naruszających warunki gwarancji — poinformujemy Cię o tym przed jej wykonaniem.</p>;;;;
Drukarka Zastępcza;Najczęściej zadawane pytania (FAQ);Czy udzielacie gwarancji na naprawy?;Czy udzielacie gwarancji na naprawy?;Tak. **3–12 miesięcy**, w zależności od rodzaju naprawy i wymienionych części.;<p>Tak. <strong>3–12 miesięcy</strong>, w zależności od rodzaju naprawy i wymienionych części.</p>;;;;
Drukarka Zastępcza;Najczęściej zadawane pytania (FAQ);Czy naprawiacie komputery / drukarki wszystkich marek?;Czy naprawiacie komputery / drukarki wszystkich marek?;Tak. Naprawiamy m.in. HP, Dell, Lenovo, ASUS, Acer, MSI, Apple i inne.;<p>Tak. Naprawiamy m.in. HP, Dell, Lenovo, ASUS, Acer, MSI, Apple i inne.</p>;;;;
Drukarka Zastępcza;Najczęściej zadawane pytania (FAQ);Czy oferujecie drukarkę zastępczą na czas naprawy?;Czy oferujecie drukarkę zastępczą na czas naprawy?;Tak. W razie potrzeby zapewniamy drukarkę zastępczą — bez przestoju w pracy.;<p>Tak. W razie potrzeby zapewniamy drukarkę zastępczą — bez przestoju w pracy.</p>;;;;
Drukarka Zastępcza;Najczęściej zadawane pytania (FAQ);Czy utracę dane?;Czy utracę dane?;Nie — w naprawach systemowych i mechanicznych chronimy dane. Przy operacjach ryzykownych (np. wymiana dysku, reinstalacja po awarii) proponujemy backup lub odzysk danych przed pracami.;<p>Nie — w naprawach systemowych i mechanicznych chronimy dane. Przy operacjach ryzykownych (np. wymiana dysku, reinstalacja po awarii) proponujemy backup lub odzysk danych przed pracami.</p>;;;;
Drukarka Zastępcza;Najczęściej zadawane pytania (FAQ);Czy odzyskacie dane po awarii?;Czy odzyskacie dane po awarii?;Tak — od prostych przypadków (logiczne uszkodzenia) po bardziej złożone (nośnik uszkodzony). Zawsze informujemy o szansach i kosztach przed startem prac.;<p>Tak — od prostych przypadków (logiczne uszkodzenia) po bardziej złożone (nośnik uszkodzony). Zawsze informujemy o szansach i kosztach przed startem prac.</p>;;;;
Drukarka Zastępcza;Najczęściej zadawane pytania (FAQ);Czy naprawiacie po zalaniu?;Czy naprawiacie po zalaniu?;Tak. Wykonujemy mycie płyty w myjce ultradźwiękowej, usuwamy korozję, wymieniamy uszkodzone elementy. Czas i koszt zależą od skali, im szybciej sprzęt trafi do serwisu, tym większa szansa powodzenia.;<p>Tak. Wykonujemy mycie płyty w myjce ultradźwiękowej, usuwamy korozję, wymieniamy uszkodzone elementy. Czas i koszt zależą od skali, im szybciej sprzęt trafi do serwisu, tym większa szansa powodzenia.</p>;;;;
Drukarka Zastępcza;Najczęściej zadawane pytania (FAQ);To ceny brutto czy netto?;To ceny brutto czy netto?;Wszystkie podane ceny są **brutto (z VAT)**.;<p>Wszystkie podane ceny są <strong>brutto (z VAT)</strong>.</p>;;;;
Wymiana tuszy, regeneracja tonerów;Diagnoza i wycena;;Wstępna diagnoza i wycena online (Opis problemu przez WhatsApp/stronę internetową/telefon - pomożemy ustalić, czy naprawa się opłaca);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Wstępna diagnoza i wycena online (Opis problemu przez WhatsApp/stronę internetową/telefon - pomożemy ustalić, czy naprawa się opłaca)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;GRATIS;15 min;GRATIS;
Wymiana tuszy, regeneracja tonerów;Diagnoza i wycena;;Diagnoza i wycena naprawy (przy dostawie do serwisu) (również w razie rezygnacji z naprawy);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Diagnoza i wycena naprawy (przy dostawie do serwisu) (również w razie rezygnacji z naprawy)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;GRATIS;24 h;GRATIS;
Wymiana tuszy, regeneracja tonerów;Diagnoza i wycena;;Diagnoza i wycena w formie pisemnej (bez naprawy, np. dla ubezpieczyciela);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Diagnoza i wycena w formie pisemnej (bez naprawy, np. dla ubezpieczyciela)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;50 / 70 / 90;1-3 dni;GRATIS;
Wymiana tuszy, regeneracja tonerów;Diagnoza i wycena;;Usługi w trybie ekspresowym (do 24 godzin, stawka z cennika);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Usługi w trybie ekspresowym (do 24 godzin, stawka z cennika)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;+ 100% do ceny;24 h;GRATIS;
Wymiana tuszy, regeneracja tonerów;Dojazd;;Dojazd (przy zleceniu naprawy) (Wrocław do 10 km, w tym diagnoza);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Dojazd (przy zleceniu naprawy) (Wrocław do 10 km, w tym diagnoza)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;GRATIS;1-3 dni;GRATIS;
Wymiana tuszy, regeneracja tonerów;Dojazd;;Dojazd (przy rezygnacji z naprawy) (Wrocław do 10 km, diagnoza + naprawy do 15 min);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Dojazd (przy rezygnacji z naprawy) (Wrocław do 10 km, diagnoza + naprawy do 15 min)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;50 / 80 / 100;1-3 dni;GRATIS;
Wymiana tuszy, regeneracja tonerów;Dojazd;;Dojazd (powyżej 10 km) (liczony w obie strony);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Dojazd (powyżej 10 km) (liczony w obie strony)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;1,5 zł/km;1-3 dni;GRATIS;
Wymiana tuszy, regeneracja tonerów;Dojazd;;Dostarczenie naprawionego urządzenia (Wrocław do 10 km, obie strony);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Dostarczenie naprawionego urządzenia (Wrocław do 10 km, obie strony)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;1,5 zł/km;1-3 dni;GRATIS;
Wymiana tuszy, regeneracja tonerów;Dojazd;;Usługi w trybie ekspresowym (do 24 godzin);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Usługi w trybie ekspresowym (do 24 godzin)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;+ 100% do ceny;24 h;GRATIS;
Wymiana tuszy, regeneracja tonerów;Czyszczenie i konserwacja (bez naprawy);;PODSTAWOWY do 30 min. (przegląd i profilaktyka, zmniejsza ryzyko awarii i stresu) (czyszczenie zewnętrzne i wewnętrzne drukarki, czyszczenie i konserwacja karetek, sprawdzenie głowicy, czyszczenie rolek pobierania papieru, kontrola elementów mechanicznych, test jakości wydruku);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>PODSTAWOWY do 30 min. (przegląd i profilaktyka, zmniejsza ryzyko awarii i stresu) (czyszczenie zewnętrzne i wewnętrzne drukarki, czyszczenie i konserwacja karetek, sprawdzenie głowicy, czyszczenie rolek pobierania papieru, kontrola elementów mechanicznych, test jakości wydruku)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;50 / 100 / 150;1-3 dni;;
Wymiana tuszy, regeneracja tonerów;Czyszczenie i konserwacja (bez naprawy);;STANDARD do 1 godziny (standardowa konserwacja) (Zakres PODSTAWOWY + Czyszczenie czujników papieru, Czyszczenie stacji serwisowej);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>STANDARD do 1 godziny (standardowa konserwacja) (Zakres PODSTAWOWY + Czyszczenie czujników papieru, Czyszczenie stacji serwisowej)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;100 / 150 / 200;1-3 dni;;
Wymiana tuszy, regeneracja tonerów;Czyszczenie i konserwacja (bez naprawy);;PREMIUM do 2 godzin (pełna konserwacja) (Zakres STANDARD + Udrożnienie układu tuszu, Czyszczenie pompy/pochłaniacza tuszu, reset liczników serwisowych);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>PREMIUM do 2 godzin (pełna konserwacja) (Zakres STANDARD + Udrożnienie układu tuszu, Czyszczenie pompy/pochłaniacza tuszu, reset liczników serwisowych)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;150 / 200 / 250;1-3 dni;;
Wymiana tuszy, regeneracja tonerów;Naprawy i usługi serwisowe (opcjonalne);Mechanizm poboru papieru, rolki, separatory;"Czyszczenie lub wymiana rolki pobierającej / separatora (Usuwa zaciągnięcia, ""chwyta kilka kartek"")";Wymiana tuszy i profesjonalna regeneracja tonerów.;"<p>Czyszczenie lub wymiana rolki pobierającej / separatora (Usuwa zaciągnięcia, ""chwyta kilka kartek"")</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>";80 / 120 / 160;1-2 dni;;
Wymiana tuszy, regeneracja tonerów;Naprawy i usługi serwisowe (opcjonalne);Mechanizm poboru papieru, rolki, separatory;"Czyszczenie czujników papieru (Usuwa fałszywe komunikaty ""brak papieru"")";Wymiana tuszy i profesjonalna regeneracja tonerów.;"<p>Czyszczenie czujników papieru (Usuwa fałszywe komunikaty ""brak papieru"")</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>";80 / 130 / 170;1-2 dni;;
Wymiana tuszy, regeneracja tonerów;Naprawy i usługi serwisowe (opcjonalne);Mechanizm poboru papieru, rolki, separatory;Regulacja prowadnic i rolek rejestracji papieru (Wyrównuje tor papieru, zmniejsza zaciągnięcia);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Regulacja prowadnic i rolek rejestracji papieru (Wyrównuje tor papieru, zmniejsza zaciągnięcia)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;90 / 140 / 180;1-3 dni;;
Wymiana tuszy, regeneracja tonerów;Naprawy i usługi serwisowe (opcjonalne);Mechanizm poboru papieru, rolki, separatory;Naprawa mechanizmu poboru papieru (Usuwa poślizgi i blokady);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Naprawa mechanizmu poboru papieru (Usuwa poślizgi i blokady)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;100 / 150 / 200;1-3 dni;;
Wymiana tuszy, regeneracja tonerów;Naprawy i usługi serwisowe (opcjonalne);Karetka i napęd;Czyszczenie i smarowanie prowadnic karetki (Usuwa szarpanie i hałas);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Czyszczenie i smarowanie prowadnic karetki (Usuwa szarpanie i hałas)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;80 / 130 / 170;1-2 dni;;
Wymiana tuszy, regeneracja tonerów;Naprawy i usługi serwisowe (opcjonalne);Karetka i napęd;"Wymiana paska napędowego karetki (Usuwa ""zgrzytanie"")";Wymiana tuszy i profesjonalna regeneracja tonerów.;"<p>Wymiana paska napędowego karetki (Usuwa ""zgrzytanie"")</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>";120 / 170 / 220;1-3 dni;;
Wymiana tuszy, regeneracja tonerów;Naprawy i usługi serwisowe (opcjonalne);Karetka i napęd;Czyszczenie / wymiana taśmy enkodera (Usuwa przesunięcia i cienie);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Czyszczenie / wymiana taśmy enkodera (Usuwa przesunięcia i cienie)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;100 / 150 / 200;1-3 dni;;
Wymiana tuszy, regeneracja tonerów;Naprawy i usługi serwisowe (opcjonalne);Karetka i napęd;Naprawa silnika karetki / mechanizmu przesuwu (Drukarka nie przesuwa głowicy);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Naprawa silnika karetki / mechanizmu przesuwu (Drukarka nie przesuwa głowicy)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;140 / 200 / 260;1-5 dni;;
Wymiana tuszy, regeneracja tonerów;Naprawy i usługi serwisowe (opcjonalne);Głowica drukująca i układ tuszu;Udrażnianie głowicy drukującej (Usuwa przerwy w druku);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Udrażnianie głowicy drukującej (Usuwa przerwy w druku)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;120 / 170 / 220;1-3 dni;;
Wymiana tuszy, regeneracja tonerów;Naprawy i usługi serwisowe (opcjonalne);Głowica drukująca i układ tuszu;Płukanie i odpowietrzanie układu tuszu (Zapobiega bąbelkom);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Płukanie i odpowietrzanie układu tuszu (Zapobiega bąbelkom)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;130 / 180 / 230;1-3 dni;;
Wymiana tuszy, regeneracja tonerów;Naprawy i usługi serwisowe (opcjonalne);Głowica drukująca i układ tuszu;Wymiana głowicy drukującej (Gdy udrażnianie nie pomaga);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Wymiana głowicy drukującej (Gdy udrażnianie nie pomaga)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;120 / 170 / 220;1-3 dni;;
Wymiana tuszy, regeneracja tonerów;Naprawy i usługi serwisowe (opcjonalne);Głowica drukująca i układ tuszu;Serwis stacji serwisowej (Czyści głowicę);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Serwis stacji serwisowej (Czyści głowicę)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;120 / 170 / 220;1-3 dni;;
Wymiana tuszy, regeneracja tonerów;Naprawy i usługi serwisowe (opcjonalne);Głowica drukująca i układ tuszu;Reset blokad serwisowych (Odblokowuje drukarkę);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Reset blokad serwisowych (Odblokowuje drukarkę)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;80 / 120 / 160;1 dzień;;
Wymiana tuszy, regeneracja tonerów;Naprawy i usługi serwisowe (opcjonalne);Głowica drukująca i układ tuszu;"Czyszczenie/wymiana pochłaniacza tuszu (""Pampersy - gąbki"")";Wymiana tuszy i profesjonalna regeneracja tonerów.;"<p>Czyszczenie/wymiana pochłaniacza tuszu (""Pampersy - gąbki"")</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>";80 / 120 / 160;1-2 dni;;
Wymiana tuszy, regeneracja tonerów;Naprawy i usługi serwisowe (opcjonalne);Naprawy elektroniczne;Naprawa lub wymiana gniazda USB / LAN (Drukarka niewidoczna);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Naprawa lub wymiana gniazda USB / LAN (Drukarka niewidoczna)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;90 / 130 / 170;1-3 dni;;
Wymiana tuszy, regeneracja tonerów;Naprawy i usługi serwisowe (opcjonalne);Naprawy elektroniczne;Wymiana panelu sterowania (Uszkodzony wyświetlacz);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Wymiana panelu sterowania (Uszkodzony wyświetlacz)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;140 / 200 / 260;1-3 dni;;
Wymiana tuszy, regeneracja tonerów;Naprawy i usługi serwisowe (opcjonalne);Naprawy elektroniczne;Naprawa lub wymiana taśm sygnałowych (Brak komunikacji);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Naprawa lub wymiana taśm sygnałowych (Brak komunikacji)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;70 / 110 / 150;1-3 dni;;
Wymiana tuszy, regeneracja tonerów;Naprawy i usługi serwisowe (opcjonalne);Naprawy elektroniczne;Naprawa zasilacza (Drukarka się nie włącza);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Naprawa zasilacza (Drukarka się nie włącza)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;150 / 200 / 250;1-3 dni;;
Wymiana tuszy, regeneracja tonerów;Naprawy i usługi serwisowe (opcjonalne);Naprawy elektroniczne;Naprawa płyty głównej (Błędy systemowe);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Naprawa płyty głównej (Błędy systemowe)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;160 / 220 / 280;1-3 dni;;
Wymiana tuszy, regeneracja tonerów;Naprawy i usługi serwisowe (opcjonalne);Naprawy elektroniczne;Wymiana płyty głównej (Gdy naprawa nieopłacalna);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Wymiana płyty głównej (Gdy naprawa nieopłacalna)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;140 / 200 / 260;1-3 dni;;
Wymiana tuszy, regeneracja tonerów;Naprawy i usługi serwisowe (opcjonalne);Naprawy elektroniczne;Wymiana czujników (Drukarka nie widzi papieru);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Wymiana czujników (Drukarka nie widzi papieru)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;100 / 150 / 200;1-3 dni;;
Wymiana tuszy, regeneracja tonerów;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Czyszczenie szyby skanera (Usuwa smugi);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Czyszczenie szyby skanera (Usuwa smugi)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;70 / 110 / 150;1-2 dni;;
Wymiana tuszy, regeneracja tonerów;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Kalibracja skanera (Poprawia ostrość);Wymiana tuszy i profesjonalna regeneracja tonerów.;<p>Kalibracja skanera (Poprawia ostrość)</p><br><p>Wymiana tuszy i profesjonalna regeneracja tonerów.</p>;60 / 90 / 120;1-2 dni;;
